pdf_id,pdf_filename,local_path,sha256,paper_title,authors,year,venue,version,relevance_screening,pass_reason,analysis_file,status,page_count,duplicate_of,version_note,screening_reason,doi,arxiv,screening_source_location,read_scope,source_type,sort_index
B026,Heins 및 Schoellig - 2024 - Force Push Robust Single-Point Pushing With Force Feedback.pdf,260918/Heins 및 Schoellig - 2024 - Force Push Robust Single-Point Pushing With Force Feedback.pdf,93c06694fda20a300d07bb12d3cee8ae06a5edfcc724ccf40ad9fa5410a1f6a7,Force Push: Robust Single-Point Pushing With Force Feedback,Adam Heins; Angela P. Schoellig,2024,"IEEE Robotics and Automation Letters 9(8), pp.6856–6863",IEEE publisher version; published13June2024; August2024 issue,Relevant,Not applicable,papers/2024-heins-force-push.md,completed,8,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,"Current object pose와 물체 모델 없이 wrist F/T planar force로 single-point pushing을 제어한다. 다만 robot localization, EEF상 알려진 contact point, approximate initial object position, convex·quasistatic 단일 물체라는 제약이 있으므로 force-only라는 표현의 범위를 정확히 분리할 수 있다.",10.1109/LRA.2024.3414180,Not stated,"Abstract/§I/§III, pp.1–2",본문 pp.1–8을 읽고 Fig.12–14의 실물 trajectory/비교/force trace를 렌더 확인했다. PDF 밖 영상은 분석 근거로 사용하지 않았다.,Research paper,26
B027,Higuera 등 - 2023 - Perceiving Extrinsic Contacts from Touch Improves Learning Insertion Policies.pdf,260918/Higuera 등 - 2023 - Perceiving Extrinsic Contacts from Touch Improves Learning Insertion Policies.pdf,86e13b38ca1a51b689e4193ce0b973c33585487dc9bb0ba79ab87427dee22467,Perceiving Extrinsic Contacts from Touch Improves Learning Insertion Policies,Carolina Higuera; Joseph Ortiz; Haozhi Qi; Luis Pineda; Byron Boots; Mustafa Mukadam,2023,Not stated (arXiv preprint),arXiv v1;28September2023,Relevant,Not applicable,papers/2023-higuera-extrinsic-contacts-insertion.md,completed,7,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,"손가락–물체 tactile image를 외부 물체–환경 contact patch로 바꾸고 PPO policy에 제공한다. Proprio-only, tactile embedding, estimated patch, GT patch를 비교하므로 축약 표현의 역할과 geometry/grasp prior, training-only GT를 분석하는 데 직접 유용하다.",Not stated,2309.16652v1,"Abstract/§I/§III/V, pp.1–4",본문 pp.1–6을 읽고 Fig.5–8의 policy learning/evaluation 그래프를 렌더 확인했다. p.7은 참고문헌; 관련 appendix 없음.,Research paper,27
B028,Hu 등 - 2025 - Dexterous in-hand manipulation of slender cylindrical objects through deep reinforcement learning wi.pdf,260918/Hu 등 - 2025 - Dexterous in-hand manipulation of slender cylindrical objects through deep reinforcement learning wi.pdf,7c246d3600450a13c5244e4e95412e864b5e3f7ea4173b40d4d9334e587b3e0c,Dexterous in-hand manipulation of slender cylindrical objects through deep reinforcement learning with tactile sensing,Wenbin Hu; Bidan Huang; Wang Wei Lee; Sicheng Yang; Yu Zheng; Zhibin Li,2025,Robotics and Autonomous Systems 186 (2025) 104904,Elsevier published article; available online 30 December 2024,Relevant,Not applicable,papers/2025-hu-tactile-slender-in-hand-manipulation.md,completed,9,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,"세 손가락의 384개 piezoresistive taxel을 Boolean contact로 바꾼 뒤 손가락별 3D contact-center, 즉 9차원으로 축약하여 PPO actor에 제공한다. Contact center, 3-bit finger contact, raw tactile, GT object pose 조합을 같은 network 규모에서 비교하므로 축약 tactile의 정보 보존·손실, proprioception 보완, training-only GT 경계를 직접 분석할 수 있다.",10.1016/j.robot.2024.104904,미명시,"Abstract/§1/§3–4/§6, PDF pp.1–7","PDF 9쪽 전체를 읽었다. Fig. 2–3의 hand·taxel 배치, Table 1과 Fig. 7–9의 simulation 결과, Fig. 10–12의 tactile sim-to-real·실물 시연, 결론의 Future Work를 렌더링해 확인했다.",Research paper,28
B029,implicitDrives.pdf,260918/implicitDrives.pdf,da83a96c5be85410efd69cdfe9c07f134d37c41931172bfd76be9b8272390846,Implicit Spring Joint Drives,PhysX Team,2024,Not applicable,Technical document dated 2024-04-23,PASS,"PhysX implicit PD joint drive와 solver의 수치 구현을 설명하는 기술문서다. Manipulation의 sensing 정보, tactile/F/T 보완 또는 접촉 추정 연구가 아니므로 PASS.",Not applicable,passed,7,Not applicable,선택 파일 1개; 다른 버전 미검토,"PhysX implicit PD joint drive와 solver의 수치 구현을 설명하는 기술문서다. Manipulation의 sensing 정보, tactile/F/T 보완 또는 접촉 추정 연구가 아니므로 PASS.",Not stated,Not stated,"Title/date/Definitions, PDF p.1; PGS/TGS solver headings, pp.2–7",제목·정의·문서 범위를 확인한 screening. 기술문서로 분류하고 상세 조작 분석에서 제외.,Technical documentation (non-paper),29
B030,Kang 등 - 2025 - Robotic Compliant Object Prying Using Diffusion Policy Guided by Vision and Force Observations.pdf,260918/Kang 등 - 2025 - Robotic Compliant Object Prying Using Diffusion Policy Guided by Vision and Force Observations.pdf,c7950f1c65a6e981ec170fe08cd13783116924de765b8d0b930cf3dd204f72c6,Robotic Compliant Object Prying Using Diffusion Policy Guided by Vision and Force Observations,Jeon Ho Kang; Sagar Joshi; Ruopeng Huang; Satyandra K. Gupta,2025,IEEE Robotics and Automation Letters (accepted March 2025; preprint),"arXiv v2, 18 March 2025; IEEE RA-L accepted preprint",Relevant,Not applicable,papers/2025-kang-compliant-object-prying-vision-force.md,completed,8,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,"KUKA의 end-effector-frame 3축 force, wrist RGB, EEF state를 diffusion policy에 결합하고 vision-only·naive force concatenation·projected force·cross-attention fusion을 각각 120회 비교한다. 현재 vision을 계속 사용하고 tactile은 없지만, 저차원 force가 고차원 vision에 묻히는 문제와 contact mode 전환에서 force가 제공하는 정보를 직접 검증하므로 F/T 역할·표현·sensor-fusion 질문에 직접 유용하다.",미명시,2503.03998v2,"Abstract/§III–IV/§VI, PDF pp.1–7","PDF 8쪽 전체를 읽었다. Fig. 3의 force–vision cross-attention 구조, Fig. 4–5의 물체·prying 단계, Fig. 6–9와 Table I의 시간·힘·성공률·실패 사례를 렌더링해 확인했다. p.8은 참고문헌이다.",Research paper,30
B031,Khatib - 1987 - A unified approach for motion and force control of robot manipulators The operational space formula 1.pdf,260918/Khatib - 1987 - A unified approach for motion and force control of robot manipulators The operational space formula 1.pdf,362ffdee671c0a480f2e90346c4d812e52a74853da8618f4a43b59bffbd9bab0,A Unified Approach for Motion and Force Control of Robot Manipulators: The Operational Space Formulation,Oussama Khatib,1987,"IEEE Journal of Robotics and Automation RA-3(1), 43–53",Korean translated/reformatted PDF; translator/publication status Not stated,duplicate,Not applicable,papers/1987-khatib-operational-space-motion-force.md,duplicate,17,B032,"Same title/author/year, §I–IX structure and references as B032; 17p Korean translation/reformat. Publisher original B032 selected; no independent method/result version identified.","운동/힘 제어를 성립시키는 known constraint direction, task frame, robot dynamics와 force feedback의 역할을 명시하는 기초 제어 연구다. F/T만으로 contact geometry를 복원하는 방법이 아니므로, force control과 contact inference를 구분하기 위한 근거로 포함한다. Tactile 축약 및 modality ablation은 다루지 않는다.",Not stated,Not stated,"B031 pp.1,17 and section structure; B032 pp.1–11","Duplicate screening: title/author/structure, first page rendered, last references p.17; English original B032 fully analysed.",Research paper,31
B032,Khatib - 1987 - A unified approach for motion and force control of robot manipulators The operational space formula.pdf,260918/Khatib - 1987 - A unified approach for motion and force control of robot manipulators The operational space formula.pdf,7c4f6a6918e0a1a4b9f40f27fb605410e7274609e7f38666bfa8979158dd61a4,A Unified Approach for Motion and Force Control of Robot Manipulators: The Operational Space Formulation,Oussama Khatib,1987,"IEEE Journal of Robotics and Automation RA-3(1), 43–53",English publisher PDF,Partially Relevant,Not applicable,papers/1987-khatib-operational-space-motion-force.md,completed,11,Not applicable,B031은 같은 논문의 한국어 번역형 17p이며 번역자/공식성 미명시. 원문 publisher B032(11p)를 대표 근거로 사용; 별도 논문으로 세지 않음.,"운동/힘 제어를 성립시키는 known constraint direction, task frame, robot dynamics와 force feedback의 역할을 명시하는 기초 제어 연구다. F/T만으로 contact geometry를 복원하는 방법이 아니므로, force control과 contact inference를 구분하기 위한 근거로 포함한다. Tactile 축약 및 modality ablation은 다루지 않는다.",Not stated,Not stated,"Abstract/§I–II, pp.1–3; §V and Fig.3, pp.6–7","영문 PDF pp.1–11 전체(본문·수식·토론·참고문헌), Fig.3 제어 구조 렌더 확인. B031은 제목·구조·마지막 참고문헌을 비교해 번역형 중복으로 확인; 분석 근거로 사용하지 않음.",Research paper,32
B033,Kim 등 - 2023 - Pre-and Post-Contact Policy Decomposition for Non-Prehensile Manipulation with Zero-Shot Sim-To-Real.pdf,260918/Kim 등 - 2023 - Pre-and Post-Contact Policy Decomposition for Non-Prehensile Manipulation with Zero-Shot Sim-To-Real.pdf,5143c8df90534fe6e6f15feb357bbff8e1a90988e5a737a345d71f5b178e7da7,Pre- and Post-Contact Policy Decomposition for Non-Prehensile Manipulation with Zero-Shot Sim-To-Real Transfer,Minchan Kim; Junhyek Han; Jaehyung Kim; Beomjoon Kim,2023,"IEEE/RSJ IROS 2023, 10644–10651",Publisher PDF,Partially Relevant,Not applicable,papers/2023-kim-pre-post-contact-sim-to-real.md,completed,8,Not applicable,선택 범위 내 다른 버전 없음,Tactile/F/T 연구는 아니지만 접촉 조작에서 simulator 3D pose/shape를 쓰는 teacher와 실행 시 RGB keypoint를 쓰는 student의 정보 차이를 명시한다. 지속적인 시각 pose 정보가 있는 방법과 blind contact feedback을 비교하고 training-only object information을 분리하는 데 유용하다. Sensor compensation의 촉각 근거로 사용하지 않는다.,10.1109/IROS55552.2023.10341657,Not stated,"§I/III, pp.2–5; Fig.3 p.5","PDF pp.1–8 전체(본문·실험·한계·참고문헌), Fig.5/Table III p.7 렌더 확인. 별도 부록 없음.",Research paper,33
B034,Kim 등 - 2025 - TRAN-D 2D Gaussian Splatting-based Sparse-view Transparent Object Depth Reconstruction via Physics.pdf,260918/Kim 등 - 2025 - TRAN-D 2D Gaussian Splatting-based Sparse-view Transparent Object Depth Reconstruction via Physics.pdf,ca8ffb830658552cd47e3788bd9f4c6abea546439eb7c333c0cd9c9d7e1dd8d4,TRAN-D: 2D Gaussian Splatting-based Sparse-view Transparent Object Depth Reconstruction via Physics Simulation for Scene Update,Jeongyun Kim; Seunghoon Jeong; Giseop Kim; Myung-Hwan Jeon; Eunji Jun; Ayoung Kim,2025,Not stated,"arXiv:2507.11069v3, 26 August 2025",PASS,Sparse-view RGB 기반 투명물체 depth reconstruction 및 physics-based scene update 연구다. Contact/tactile/F/T feedback으로 manipulation 중 부족한 정보를 보완하는 policy·estimator를 다루지 않아 PASS.,Not applicable,passed,13,Not applicable,선택 배치 안 동일 논문 다른 버전 없음,현재 조사 질문의 contact sensing 보완 구조와 직접 연결되지 않는 perception 연구.,Not stated,2507.11069v3,"Title/Abstract/§1, p.1; §3 overview and Fig.2, p.3","Screening: title/abstract/introduction, method overview 및 observation inputs (§3, p.3). 상세 분석하지 않음.",Research paper,34
B035,Koval 등 - Pre- and Post-Contact Policy Decomposition for Planar Contact Manipulation Under Uncertainty.pdf,260918/Koval 등 - Pre- and Post-Contact Policy Decomposition for Planar Contact Manipulation Under Uncertainty.pdf,6f712f0f2dc6166cbf3dbcee616089ebec24000f4094458708e5e69d243a5c32,Pre- and Post-Contact Policy Decomposition for Planar Contact Manipulation Under Uncertainty,Michael C. Koval; Nancy S. Pollard; Siddhartha S. Srinivasa,Not stated,Not stated,Author-formatted PDF; publication/version identifier Not stated,Relevant,Not applicable,papers/undated-koval-contact-policy-decomposition.md,completed,9,Not applicable,원문에 publication year/venue/DOI/version 표시가 없어 미명시. 파일명에도 연도 없음; undated identifier 사용.,"Binary contact만으로 불확실한 object pose를 다루는 closed-loop pushing 연구다. Initial belief, known geometry, quasi-static transition model, contact-manifold particle filter가 축약 sensing을 보완하는 구조를 명시한다. Sparse fingertip sensing에서 information-gathering policy의 필요성을 비교한다.",Not stated,Not stated,"Abstract/§I, pp.1–2; §III-A, p.3; §V-A, p.6",PDF pp.1–9 전체: 방법·정리/오차 bound·실험·한계/향후 연구·참고문헌. Fig.5–6 p.7 렌더 확인. 별도 부록 없음.,Research paper,35
B036,Lach 등 - 2024 - Zero-Shot Transfer of a Tactile-based Continuous Force Control Policy from Simulation to Robot.pdf,260918/Lach 등 - 2024 - Zero-Shot Transfer of a Tactile-based Continuous Force Control Policy from Simulation to Robot.pdf,0a6faf3649135e59037c359ec6c4e82f0869da075c10d0b895f26920c18f5854,Zero-Shot Transfer of a Tactile-based Continuous Force Control Policy from Simulation to Robot,Luca Lach; Robert Haschke; Davide Tateo; Jan Peters; Helge Ritter; Júlia Borràs; Carme Torras,2024,"IEEE/RSJ IROS 2024, 725–732",Publisher PDF,Relevant,Not applicable,papers/2024-lach-continuous-force-control.md,completed,8,Not applicable,선택 범위 내 다른 버전 없음,"두 손가락의 연속 normal-force와 position/history만으로 unknown object compliance 및 offset에 대응하는 force-control policy다. 힘의 크기를 보존하는 scalar tactile, binary contact-memory, proprioception의 역할을 구분할 수 있다. Reward의 object velocity와 실행 입력도 명확히 분리된다.",10.1109/IROS58592.2024.10802386,Not stated,"Abstract, p.1; §IV-A–C, pp.4–5","PDF pp.1–8 전체(본문·실험·결론·참고문헌), Fig.6/7 및 Table II p.6 렌더 확인. 별도 부록 없음.",Research paper,36
