paper_id,title,authors,year,venue,relevance_class,relevance_reason,task,method_category,algorithm,robot,action,low_level_controller,vision_used,object_position_condition,object_orientation_condition,object_pose_source,object_shape_condition,object_shape_source,object_physical_parameters,tactile_used,tactile_sensor,tactile_raw,tactile_preprocessing,tactile_representation,tactile_retained_information,tactile_removed_information,ft_used,ft_source,ft_representation,ft_role,proprioception_used,history_used,previous_action_used,state_estimator,other_observation,missing_object_information,supplementary_information,supplementary_information_role,actor_privileged_gt,critic_privileged_gt,reward_gt,termination_gt,curriculum_gt,ft_contact_localization,ft_required_assumptions,ft_reported_ambiguity,tactile_added_to_ft_reason,evidence_type,evidence_summary,evidence_location,author_limitation,author_future_work,analysis_note_path
B079,Going In Blind: Object Motion Classification using Distributed Tactile Sensing for Safe Reaching in Clutter,Rachel Thomasson; Etienne Roberge; Mark R. Cutkosky; Jean-Philippe Roberge,2022,"2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), 1440-1446",Partially Relevant,"완전한 reactive manipulation policy를 구현하지는 않지만, object identity·pose·mobility를 모르는 clutter reaching에서 distributed tactile history로 immovable/sliding/tipping 접촉을 구분한다. wrist F/T는 분류 입력이 아니라 과부하 정지에만 쓰여 tactile의 spatial-temporal 정보와 global force safety의 실제 역할 분리를 보여준다.",Incidental-contact object-motion classification for safe reaching in clutter,Rule-based perception; Tactile state estimation,Thresholded tactile cues with RANSAC and piecewise linear fitting,UR16e with Allegro Hand and distributed capacitive skin,Predefined planar Cartesian reaching trajectory; no reactive policy implemented,Cartesian motion with 30 N wrist-force safety stop,No,미제공,미제공,Not applicable; local tactile contact patch only,미제공,"Class-level assumptions only: convex, rigid, stable support",미제공; mobility inferred from tactile cues,Yes,Distributed fringe-field mutual-capacitance skin on Allegro Hand,10 Hz taxel capacitance/pressure signal; 4 taxels per cm2 on tested back-of-hand patch,Normalization; bicubic interpolation; threshold; moments; convex hull; RANSAC; piecewise linear fit,"Contact center, area, intensity and temporal/motion-relative slopes and means","Contact locality, patch size, pressure-related intensity, patch motion and temporal trend",Raw fine taxel pattern after aggregation; shear unavailable; no exact object pose/trajectory,Yes,Integrated UR16e wrist F/T sensor,Normal force threshold at 30 N,Safety stop only; not object-motion classification,Yes,Yes,"Yes; commanded motion progression, not a policy vector",Discrete immovable/sliding/tipping classifier,Robot tangential and normal motion progression,"Object identity, current pose, geometry parameters and mobility",Distributed tactile spatial-temporal cues; robot motion; wrist overload threshold,Classify contact-induced object motion and stop excessive force,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Calibrated normal force and sensor-frame alignment; exact source model not discussed,Net force alone does not determine whether contact slides or tips; classification excludes F/T,Tactile adds local contact-patch position and motion; wrist F/T provides only global overload stop,Controlled comparison; Failure analysis,Tactile cues classify three motion categories at 98% on prototypes and 92% on diverse objects; assumption failures documented,"Fig. 9, PDF p.6; Sec. IV-C, PDF p.6","Quasi-static convex-rigid assumptions; sensor-orthogonal tip, deformation and concavity cause failures; reactive controller absent",Full-hand deployment; reactive trajectory modification; probing and shear-enhanced trajectory estimation,papers/2022-thomasson-going-in-blind.md
B080,Multi-Fingered Dragging of Unknown Objects and Orientations Using Distributed Tactile Information Through Vision-Transformer and LSTM,T. Ueno; S. Funabashi; H. Ito; A. Schmitz; S. Kulkarni; T. Ogata; S. Sugano,2024,"2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), 7445-7452",Relevant,"current object pose·property label을 입력하지 않고 distributed 3-axis tactile, joint state, LSTM history로 unknown object의 orientation과 softness에 맞춰 dragging/grasping한다. ViT-only, LSTM-only, open-loop 비교가 있어 spatial tactile와 temporal memory가 누락된 object information을 보완하는 효과를 직접 평가한다.","Multi-fingered dragging, reorientation and grasping of unknown objects",Imitation Learning; Deep predictive learning,Vision Transformer + LSTM with one-step predictive MSE,Allegro Hand with 19 XELA uSkin patches,16 leader target joint angles,Joint-position PID,No at execution; human visual feedback during demonstration collection only,미제공,미제공,Implicit tactile-history latent only; no explicit pose,미제공,Implicit training prior and distributed tactile pattern,미제공; softness/friction inferred implicitly,Yes,19 distributed XELA uSkin 3-axis tactile patches,912 channels = 19 patches x 16 taxels x 3 axes at 20 Hz,4x4x3 patch crop; per-channel normalization to 0.1-0.9; patch-specific embedding,19 tactile tokens -> 20D ViT CLS feature -> 500D LSTM hidden state,"Spatial finger/contact pattern, 3-axis local loads, temporal contact progression and implicit orientation/softness",Raw 912D detail compressed to CLS; explicit pose/shape/property unavailable; one broken patch omitted,No,Not applicable,Not applicable,Not applicable,Yes,Yes,No explicit vector,Implicit LSTM latent; no explicit object-state estimator,Previous predicted tactile/joint mixed with current sensing,"Current object position, orientation, shape and softness label",Distributed tactile; joint angles; recurrent history,Infer initial contact/orientation/property and retain it across long manipulation,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Representation ablation; Controlled comparison; Feature analysis,"ViT-LSTM strongly outperforms ViT-only, LSTM-only and open-loop execution","Tables II-IV, PDF p.7; Figs. 5-7, PDF pp.6-7",Restricted initial position range; hand kinematics cannot cover wide lateral offsets; broken tactile patch,Broaden initial pose range; haptic demonstration feedback; integrate vision/audio with touch,papers/2024-ueno-multifingered-dragging.md
B081,Learning Robotic Manipulation Skills Using an Adaptive Force-Impedance Action Space,Maximilian Ulmer; Elie Aljalbout; Sascha Schwarz; Sami Haddadin,2021,arXiv preprint,Relevant,tactile은 쓰지 않지만 estimated external wrench를 high-rate adaptive force/impedance controller와 저주파 policy observation으로 분리해 사용하는 contact-rich manipulation 연구다. Wrench가 contact locality 대신 force regulation·stability·safety를 담당하는 실제 구조와 그 한계를 분석하는 데 직접 관련된다.,"Contact-rich wiping; simulated door opening, lifting and wiping",Reinforcement Learning; Adaptive force-impedance control,Soft Actor-Critic high level; AFORCE adaptive controller,Real torque-controlled manipulator not named; simulated robosuite robot,Desired Cartesian pose; optional desired wrench,Cartesian Adaptive Force-Impedance Control at 500 Hz-1 kHz,Yes for real wipe-goal centroid; vision-based RL not evaluated,미명시,미명시,"Simulation RL observation not fully specified; real goal centroid is vision, not current object pose",미명시,Not stated,미제공; handled by online adaptation,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Estimated external wrench; physical source not stated,Recent 6D wrench history for high level; high-rate instantaneous wrench for controller; desired wrench,Force regulation; impedance adaptation; contact stability; energy and safety penalty,Yes,Yes; recent wrench,No,"External wrench estimator, method not stated",EEF pose/velocity; visual wipe-spot centroid,Contact location/configuration and environment physical parameters; exact sim object observation not stated,Estimated wrench; proprioceptive tracking error; visual goal,Adapt stiffness/force and execute task without explicit contact locality,Not stated,Not stated,Yes; simulator task/contact states,Not stated,No,No,Known robot dynamics/Jacobian; reliable high-rate wrench estimate; defined desired wrench/profile,Contact locality and multi-contact decomposition are not addressed; net wrench is used only for regulation,Not applicable,Controlled comparison; Failure analysis,"AFORCE improves energy, sample efficiency and contact stability against fixed/variable impedance and force baselines","Fig. 2, PDF p.4; Fig. 3 and Table I, PDF pp.5-6",Manual adaptation-parameter tuning; purely reactive adaptation; residual safety penalties,Jointly learn adaptive parameters and high-level policy; proactive intervention; vision-based RL,papers/2021-ulmer-adaptive-force-impedance.md
B083,Reinforcement Learning with Parameterized Manipulation Primitives for Robotic Assembly,Nghia Vuong; Quang-Cuong Pham,2023,arXiv preprint,Relevant,"peg-hole relative pose와 6-axis F/T를 관측하거나 action feasibility/primitive termination에 사용해 contact-rich insertion을 수행한다. 특히 저자 스스로 force를 접촉 상태 분리에는 쓰지만 policy는 주로 kinematics에 의존하여 sim-to-real 실패가 생긴다고 분석하고 tactile 통합을 future work로 제시하므로, F/T가 제공하는 범위와 부족한 local contact state를 직접 보여준다.",High-precision peg-in-hole assembly,Reinforcement Learning; Hybrid motion-force control,PPO with parameterized discrete-continuous manipulation primitives,Franka Emika Panda with ATI Gamma IP60 flange F/T sensor,Manipulation primitive identity plus continuous parameters,Operational-space inverse-dynamics position control plus feedforward force control at 1000 Hz,"Initial hole pose estimate assumed; visual servoing is an example, no continuous vision stated",Tracking,Tracking,Initial estimated hole task frame plus robot kinematics; relative peg-hole pose,Initial,"Known peg/hole profile, insertion axis and task geometry",Task clearance/material known for setup but not separate actor inputs,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,ATI Gamma IP60 6-axis F/T on robot flange,6D external wrench; direction projections; thresholds; desired force/torque,Contact detection; action-family gating; primitive termination; overload protection; insertion force control,Yes,No,No,"External initial hole-pose estimator, implementation not stated",Peg pose relative to estimated hole/task frame,Exact contact location/configuration and robust contact-state semantics,"Relative pose, known geometry, primitive constraints, F/T thresholds",Use global contact wrench to trigger/control primitives while kinematics guides search,No; noisy estimated task frame,Not stated,No; reward uses noisy estimated hole frame,No; F/T/kinematic thresholds available at execution,No,No,Rigid grasp; known insertion axis/geometry; initial pose <1 mm/<1 degree error; zero free-space wrench; calibrated flange transform,Global wrench separates contact/free space but does not resolve contact state/locality; contact-model sim-real gap remains,Tactile is not used; authors propose it as future information for richer contact state,Controlled comparison; Failure analysis,Hybrid primitives beat discrete/continuous baselines; real failures expose kinematics/global-wrench limitations,"Figs. 4-6, PDF pp.6-7; Sec. V-C, PDF p.7",Restricted primitive motion; pose-centric policy and contact-model sim-real gap; low-level law limits performance,"Add free-motion primitive, direct force observation, tactile information and robust low-level controllers",papers/2023-vuong-parameterized-primitives-assembly.md
B085,Contact SLAM: An Active Tactile Exploration Policy Based on Physical Reasoning Utilized in Robotic Fine Blind Manipulation Tasks,Gaozhao Wang; Xing Liu; Zhenduo Ye; Zhengxiong Liu; Panfeng Huang,2026,arXiv preprint,Relevant,"continuous vision 없이 두 Tac3D의 distributed force·resultant force/torque·marker displacement와 known geometry를 결합해 grasped object와 environment의 relative pose/contact region을 추정하고 assembly/pushing한다. Net wrench가 가능한 범위를 정확한 geometry, quasi-static/single-rigid-grasp constraints, particle filtering이 어떻게 보완하는지 명시해 두 핵심 Review 질문에 직접 답한다.",Blind socket assembly and obstacle-aware block pushing,State Estimation + Controller; Active tactile exploration; Model-based planning,Factor-graph MAP; particle filtering; entropy/distance-variance planning; A*,Robot gripper with two Tac3D fingertip sensors,Discrete Cartesian exploration direction until tactile event; final A* trajectory,Not stated,No at execution,Tracking,Tracking,Robot FK plus Tac3D marker displacement and contact-constrained factor graph/particle filter,Initial,Exact known polygon contours and dimensions,Quasi-static/rigid/static assumptions; exact mass/friction not stated,Yes,Two Tac3D distributed 3D-force tactile sensors,3D force distribution; resultant 3D force/torque; marker-point displacement,Left/right force transform and differencing; SVD marker registration; contact-change detection,Relative rigid transform; resultant wrench/direction; contact event; factor-graph and particle likelihood,"Local deformation/relative displacement, spatial force distribution, global load direction and contact event history",Exact external contact patch/configuration not observed; reduced to candidate contact regions,Yes,Resultant force/torque derived from two fingertip Tac3D sensors; not wrist F/T,"Fx,Fy,Fz, torques, direction, thresholds and history",Contact detection/direction; contact-pair selection; localization; particle update; alignment and termination,Yes,Yes,Yes,Factor-graph MAP plus particle filter,Known contours; target region; gripper pose; traveled distance,Initial exact scene/obstacle pose and exact external contact configuration,Exact geometry; tactile marker transform; force direction; active exploration history,Resolve global-wrench/contact ambiguity and localize relative contact regions,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Yes, only candidate relative contact region with geometry and active exploration",Quasi-static contact; no object autonomous motion; rigid grasp/no translation; exact geometry; known transforms; opposing normals,Exact contact configuration not recovered; similar regions create multi-modal/non-convergent posterior,Marker displacement and distributed tactile force add grasped-object relative transform/spatial evidence beyond net resultant wrench,Controlled comparison; Algorithm ablation; Failure analysis,Active Contact SLAM reaches 80-84% socket success vs 10% spiral search; exploration improvements prevent localization failures,"Table I, PDF p.6; Figs. 5-6, PDF p.7; Figs. 8-9, PDF pp.8-9",Requires exact geometry and quasi-static constraints; similar regions may not converge; no dynamic constraints,Extend Contact SLAM to dynamic constraints in fine manipulation,papers/2026-wang-contact-slam.md
B086,MAT: Multi-Fingered Adaptive Tactile Grasping via Deep Reinforcement Learning,Bohan Wu; Iretiayo Akinola; Jacob Varley; Peter K. Allen,2019,Conference on Robot Learning (CoRL 2019),Relevant,"초기 vision grasp 이후 실행 vision 없이 binary tactile, tactile-cell 위치, finger proprioception과 20-step history로 grasp를 수정한다. Binary 변환이 연속 force magnitude를 제거한 뒤 어떤 spatial/temporal 정보를 남기며 current object pose 부재를 어떻게 보완하는지, 그리고 simulator reward·termination과 runtime observation을 어떻게 분리하는지 직접 분석할 수 있다.","Vision-initialized, tactile closed-loop multi-finger grasp adaptation and lift",Reinforcement Learning; Hybrid learned and rule-based control,SoftPPO,Staubli TX60 arm; Barrett BH-282 hand with 96 tactile cells,Finger-wise binary close; reopen/regrasp; wrist roll; rule-based XY translation; lift,Finger joint position commands and Cartesian wrist repositioning; exact gains Not stated,Initial grasp pose only; no vision during tactile policy execution,Initial,Initial,External vision initial grasp; no runtime current-pose tracking,미제공,No mesh/CAD/dimension/category in policy,미제공; randomized in simulation but not actor input,Yes,96 capacitive cells on Barrett fingers and palm,"Per-cell scalar force-like reading at about 246 Hz, range 0–20",50-sample running mean; threshold 0.8; forward kinematics; 20-step histories and differences,20×96 binary contact; cell Cartesian positions; temporal differences,Contact presence; local cell pattern/location; temporal persistence/change,Continuous force magnitude; shear; local deformation/pressure distribution; exact object pose,No,Not applicable; local capacitive tactile only,Not applicable; tactile scalar is thresholded to binary,Not applicable; no wrist/global wrench,Yes; 8 finger joint angles and differences,"Yes; 20-step tactile, cell-position, and joint histories",No / Not stated,No explicit object-state estimator,Active tactile-cell Cartesian positions in end-effector frame,Current object pose; shape; physical parameters; tactile force magnitude,Binary tactile locality; tactile-cell positions; finger proprioception; 20-step history; initial visual grasp,"Detect contact distribution/change and choose close, regrasp, or lift without current pose tracking",No,No privileged critic stated,Yes; simulator pickup/lift success,Yes; lift outcome/action horizon,Yes; closing-magnitude curriculum and randomized grasp conditions,No F/T; tactile cell identity/kinematics provides local contact location,Known hand kinematics/sensor placement; calibrated threshold; coarse initial grasp,Sparse binary touch does not uniquely determine object pose; force magnitude removed,Not applicable; F/T is not used,Controlled comparison; Action/component ablation; No magnitude-vs-binary evidence,"MAT improves simulated/real robustness; component ablations support regrasp actions, but no continuous-vs-binary tactile ablation","Tables 1–4, PDF pp.7–8,12–14",Sparse tactile gives limited pose; roll-only safety restriction; binary magnitude loss; small real sample (§Appendix A/C),Extend to dexterous tactile object manipulation (§V p.8),papers/2019-wu-mat-adaptive-tactile-grasping.md
B087,ViTacGen: Robotic Pushing With Vision-to-Touch Generation,Zhiyuan Wu; Yijiong Lin; Yongqiang Zhao; Xuyang Zhang; Zhuo Chen; Nathan F. Lepora; Shan Luo,2025,"IEEE Robotics and Automation Letters, Vol. 10, No. 11",Relevant,"실제 tactile sensor 없이 RGB sequence에서 contact-depth representation을 생성해 pushing policy에 넣고 visual-only, tactile-only, visual+tactile 조건을 비교한다. 생성 tactile이 contact geometry를 보완하지만 local force와 fine geometry를 포함하지 않는다고 저자가 명시하여, tactile representation의 retained/removed information과 modality evidence를 직접 제공한다.",Goal-conditioned planar robotic pushing along desired trajectories,Reinforcement Learning; Vision-to-touch generation; Sim-to-real,SAC control; supervised ViTac-Gen; MoCo feature alignment,UR5e with RealSense D435,Continuous pushing action; exact components Not stated,Not stated; simulation control at 500 Hz,Yes; current/recent RGB and physical deployment sensor,기타,기타,Implicit in RGB; no numeric current-pose observation; simulator GT for reward/success,기타,Implicit RGB and generated contact-depth geometry; no explicit mesh/CAD,미제공; randomized during simulation training,Yes (generated representation; no physical tactile at deployment),Tactile Gym 2 virtual optical tactile for training labels,Simulated optical contact-depth image from reference minus penetration depth,3-frame RGB encoder-decoder prediction; frozen generator; tactile feature encoder,Generated 2-D contact-depth image and latent feature,High-level contact geometry; penetration/contact pattern,Local force distribution; shear; physical properties; fine surface geometry; measured force,No,Not applicable,Not applicable,Not applicable,Yes; TCP coordinates,Yes; 3-frame RGB sequence for tactile generation,Not stated,"ViTac-Gen estimates tactile contact depth from vision, not object pose",Goal point/trajectory; visual feature,Numeric current object pose; explicit shape/physical parameters; real tactile force,RGB sequence; generated contact-depth; TCP coordinates; goal,Infer contact geometry and guide pushing without a real tactile sensor,No,Not stated,Yes; simulator object-center and TCP distances,Yes; object-center goal threshold,Yes; paired simulator tactile data/expert rollout/domain randomization,No F/T used,Not applicable; generated tactile assumes learned visual-to-contact mapping,Not applicable; generated tactile lacks force/shear/fine geometry,Not an F/T+tactile system; generated contact depth adds contact geometry to vision,Sensor combination ablation; Controlled comparison; Representation ablation,Visual+tactile outperforms single modalities; real visual-only deployment benefits from generated tactile; fusion/alignment ablations support design,"Tables II–VI, PDF pp.6–7","Generated contact depth lacks detailed physics, local force, shear, and fine geometry (§V p.8)",Predict physical properties and shear forces from visual motion (§V p.8),papers/2025-wu-vitacgen-vision-to-touch-pushing.md
B088,Robotized Unplugging of a Cylindrical Peg Press-Fitted into a Cylindrical Hole,Shuihao Xu; Duc Truong Pham; Shizhong Su,2024,Royal Society Open Science 11: 230872,Partially Relevant,"Manipulation policy나 contact-localization 연구는 아니지만, wrist 6-axis F/T로 press-fit disassembly의 axial force와 torque를 측정하고 direct pull과 twist-pull을 비교한다. F/T가 global load를 정량화할 수 있으나 contact locality를 추정하지 않으며, 해석이 known cylindrical geometry·material·friction·quasi-static model에 의존하는 사례로 본 Review의 F/T-only 성립 조건에 제한적 근거를 제공한다.",Robotized removal of a cylindrical press-fit peg by direct pull or twist-and-pull,Model-based mechanics; Finite-element analysis; Predefined robot control,Elastic contact theory; Abaqus static analysis; fixed trajectories,Techman TM14; Robotiq 2F-85; ATI Axia80-M20 wrist F/T,Axial pull; simultaneous axial pull and z-axis rotation,Programmed Cartesian motion; exact servo law Not stated,Yes; initial peg localization/alignment only,Initial,Initial,Machine vision initial localization and axial alignment; no runtime tracking,Initial,Known cylindrical peg/hole dimensions and interference fit,Known/assumed EVA/steel elastic properties and friction coefficients,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,ATI Axia80-M20 wrist 6-axis F/T sensor,"6-axis wrench recorded; analysis emphasizes axial force Fz and axial torque Tz, peaks/curves",Measure global disassembly load; compare strategies; validate mechanics model,Robot pose/trajectory known; detailed joint state observation Not stated,Recorded force/torque time curves for analysis; no policy history,No policy; programmed trajectory,No,"Known geometry, material, friction, interference and commanded velocities",Runtime current pose; local/distributed contact state; contact location,Initial vision alignment; known cylindrical geometry/material/friction; fixed trajectory; wrist load curve,Constrain mechanics and quantify axial friction without local contact sensing,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No; only global load measurement,Single concentric cylindrical press-fit; known geometry/interference/material/friction; quasi-static alignment,No locality/multi-contact analysis; small torque noisy and affected by wear/alignment/trajectory error,No tactile sensor or F/T+tactile comparison,Controlled comparison; Failure analysis; Theory–simulation–experiment comparison,Twist-pulling reduces measured axial force by about 32.5% and succeeds in one high-interference case where direct pulling fails,"Tables 3–5 and Figs.6–8, PDF pp.9–12","Linear elastic simplification, material wear, small torque fluctuation, geometry/sample scope (§3.3/§4)","Elastic-plastic/wear models, other materials/geometries and multi-cylinder cases (§4 p.13)",papers/2024-xu-robotized-unplugging-press-fit.md
B089,Reactive Diffusion Policy: Slow-Fast Visual-Tactile Policy Learning for Contact-Rich Manipulation,Han Xue; Jieji Ren; Wendi Chen; Gu Zhang; Yuan Fang; Guoying Gu; Huazhe Xu; Cewu Lu,2025,arXiv preprint,Relevant,"Optical tactile PCA feature와 joint-torque-derived 6-D TCP wrench를 동일 slow-fast imitation framework의 대체 sensory variants로 비교하며, vision-only/open-loop baselines와 contact perturbation 실험을 제공한다. Tactile이 spatial deformation modes를 남기는 방식, estimated wrench가 global force/torque를 제공하는 방식, high-frequency feedback의 역할과 evidence를 직접 비교할 수 있다.",Peeling; curved-surface wiping; bimanual paper-cup lifting under perturbations,Imitation Learning; Slow-fast diffusion policy; Multimodal teleoperation,Reactive Diffusion Policy: latent diffusion slow policy + GRU asymmetric-tokenizer fast policy,One or two Flexiv Rizon 4 arms; Flexiv Grav grippers,Relative/absolute end-effector trajectory action chunks with high-frequency corrective actions,Interpolated TCP commands sent via Flexiv RDK at >500 Hz,Yes; wrist RGB and optional external RGB,기타,기타,Implicit in RGB/contact signal; no numeric current object pose,기타,Implicit visual/tactile appearance; no explicit geometry input,미제공,Yes in tactile variants,GelSight Mini and improved MCTac optical tactile sensors,Optical images and 2-D marker deformation fields,Marker tracking/optical flow relative to reference; PCA trained on random interactions; 24 FPS,15-D PCA embedding of marker deformation field,Normal/tangential deformation; torsional mode; rapid contact change,Raw pixels/texture; full marker spatial detail; explicit contact pose/location; global object state,Yes in force variants,Flexiv Rizon built-in joint torque sensors; Flexiv RDK estimated TCP wrench,6-D force+torque concatenated observation; 120 Hz downsampled to 24 FPS,High-frequency policy observation; contact/load regulation and recovery,Yes; relative or absolute robot/TCP state,Yes; observation horizon 2 and GRU autoregressive hidden state,Yes; current latent action chunk/previous fast trajectory context,No explicit object estimator; joint-torque-based wrench estimator in RDK,RGB; action chunk; sensor history,Numeric current pose/shape/physical properties; contact locality for wrench variant,Vision; proprioception; high-frequency tactile deformation or 6-D wrench; recurrent state,"Maintain contact, regulate load, and react within slow open-loop chunks",Not applicable; imitation policy runtime inputs only,Not applicable,Not applicable,Not applicable,Not applicable; demonstrations collected in real world,No; global estimated TCP wrench only,Accurate-enough robot dynamics/TCP transform; synchronized high-rate data; demonstrated contact regimes,Estimated wrench is noisy; no contact patch/locality or multi-contact separation,No simultaneous fusion ablation; tactile preserves local deformation modes while wrench gives low-dimensional global load in separate variants,Sensor/input ablation; Controlled comparison; Failure analysis; User study,RDP sensor variants outperform open-loop DP; force variant best; normal-only and tokenizer ablations substantially reduce peeling score,"Tables II–VI, PDF pp.9–11,17–18","Teleoperation latency/intuitiveness, two-finger scope, no high-rate vision, single-task policy (§VI p.14)","Lower latency, dexterous hands, high-rate visual fast policy, VLA integration (§VI p.14)",papers/2025-xue-reactive-diffusion-policy.md
B090,Disambiguate Gripper State in Grasp-Based Tasks: Pseudo-Tactile as Feedback Enables Pure Simulation Learning,Yifei Yang; Lu Chen; Zherui Song; Yenan Chen; Wentao Sun; Zhongxiang Zhou; Rong Xiong; Yue Wang,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Relevant,"Force-controlled gripper의 equilibrium joint angle을 pseudo-tactile로 사용하여 ambiguous closed command를 reliable binary grasp-state feedback으로 바꾸고, 이 축약 정보가 vision-only policy의 부족분을 어떻게 보완하는지 직접 실험한다. Privileged object pose 기반 simulation expert와 runtime RGB/binary state를 분리하며 pseudo-tactile ablation을 제공한다.",Pick-and-lift; drawer opening; oven opening with forced premature-gripper disturbances,Imitation Learning; Hybrid policy and rule-based tactile/compliance control; Sim-to-real,Diffusion Policy with DDIM; privileged state-based expert data generation,UR5; Robotiq 2F-85; RealSense D435i,End-effector 6-DoF pose and binary gripper command,Pseudo-tactile rule-based gripper controller; Cartesian admittance controller for articulated tasks,Yes; third-person RGB continuously,기타,기타,Implicit RGB at runtime; GT simulator pose only for expert demonstration generation/completion,기타,Implicit RGB/simulation assets; no explicit runtime geometry vector,미제공,Yes (pseudo-tactile),Force-controlled Robotiq gripper joint angle; no added tactile hardware,Continuous gripper joint angle at force equilibrium,Manual rule detects maximum-angle empty close and overrides close with reopen,Corrected binary gripper state supplied to policy,Successful grasp/contact containment presence,Continuous angle; force magnitude/direction; contact location/patch; shear; object pose,Yes only in low-level admittance; source Not stated,"External force/torque for admittance, sensor/source Not stated; pseudo-tactile itself is gripper joint angle",External wrench in admittance equation; exact components/frame/filtering Not stated,Compliant pose correction under articulated-object kinematic mismatch,Yes; EEF 6-DoF pose; gripper joint angle only in low-level controller,Not stated,Not stated,No explicit object estimator; binary pseudo-tactile grasp-state correction,RGB; binary gripper state,Numeric current object pose; reliable grasp success from vision/command; contact force/location,RGB; EEF pose; equilibrium joint angle transformed to binary grasp state; admittance wrench,Disambiguate empty-close from grasp-close and absorb trajectory mismatch,No,Not applicable,Not applicable,Yes for expert rollout/data filtering using object pose or joint angles,Yes; privileged object pose expert and simulator randomization/data generation,No,Force-controlled gripper; separable equilibrium angles; manual rule/threshold; calibrated wrench for admittance,Binary grasp presence only; external-wrench source/locality not analyzed,Pseudo-tactile identifies grasp success; admittance wrench handles compliance at a separate low-level controller,Sensor/controller ablation; Architecture ablation; Controlled comparison; Failure analysis,Pseudo-tactile increases oven success 30→80% and resilience 30→100%; data/architecture scaling without feedback does not resolve ambiguity,"Tables I–IV, PDF pp.6–8",No dedicated section; depends on force-controlled gripper/equilibrium rule and retains only binary grasp presence,Not stated in §VI conclusion,papers/2025-yang-pseudo-tactile-gripper-state.md
B092,Rotating without Seeing: Towards In-hand Dexterity through Touch,Zhao-Heng Yin; Binghao Huang; Yuzhe Qin; Qifeng Chen; Xiaolong Wang,2023,arXiv preprint,Relevant,"Vision 없이 16개 FSR를 binary contact로 축약하고 proprioception, previous target, 4-frame history와 결합해 in-hand rotation을 수행한다. Binary/continuous/no-sensor, palm/fingertip sensor ablation과 asymmetric critic/object-GT reward 구조를 모두 제공하여 축약 tactile 보완과 training privileged information을 직접 비교할 수 있다.",Vision-free in-hand object rotation about commanded x/y/z axes,Reinforcement Learning; Sim-to-real dexterous manipulation,PPO with asymmetric actor/value observations,XArm with 16-DoF Allegro hand and 16 FSR sensors,16-D relative joint-position target increment,EMA-smoothed joint targets; PD at 10 Hz,No at runtime,미제공,미제공,Actor none; simulator GT only for critic/reward/termination,미제공,No actor geometry; diverse training objects and tactile sequence only,Actor No; simulator randomized and critic privileged,Yes,"16 Force-Sensing Resistors on palm, finger links, and fingertips",Continuous nonlinear/noisy analog FSR voltages; simulated net force norm per sensor link,Per-sensor threshold; simulation threshold 0.01 N; current+3-state stacking,16-D binary contact vector over 4 frames,Contact presence; sensor-region locality/pattern; approximate object position/critical contact; short history,Force magnitude/direction; shear; exact contact point/normal; pressure distribution; explicit pose/shape,No wrist/global F/T; local tactile force only before binarization,FSR local sensors; continuous simulator contact force for critic only,Actor binary contact; critic privileged per-link continuous contact forces,Actor contact observation; critic training aid,Yes; 16 joint positions and previous joint target,Yes; current plus 3 historical states,Yes; previous joint-position target,No explicit object estimator; separate tactile-shape probe only for analysis,Desired rotation axis goal,Current pose; shape; physical parameters; continuous contact force,Binary tactile layout; joint state; previous target; 4-frame history; goal axis,Infer approximate in-hand position/contact transitions and sustain rotation,No,"Yes; contact forces, object GT pose, physical parameters",Yes; object rotation/velocity/fall/distance and controller state,Yes; object deviation/fall and horizon,Yes; object/physics/controller/noise domain randomization,No F/T; tactile sensor placement supplies coarse regional locality,Threshold calibration; known sensor layout; contacts occur on covered hand regions,Binary force magnitude/direction unavailable; sparse side-link coverage causes missed critical contacts,Not applicable; no global F/T used,Sensor ablation; Representation ablation; Shape probe; Failure analysis,Binary full-hand touch outperforms no/disabled/continuous sensing; both palm and fingertip sensors matter; touch halves shape-probe MSE,"Tables I–V and Figs.6–9, PDF pp.6–10",Sparse side-link coverage; continuous-signal sim–real gap; binary magnitude loss (§III-A/§V-E/I),Denser arrays and more diverse tasks (§VI p.10),papers/2023-yin-rotating-without-seeing-touch-dexterity.md
